Year,1,2,3,4,5,6,7,8,9,10
2003,241 221 207,182 202 218,123 147 68,49 61 100,236 112 123,169 128 106,187 141 158,221 209 97,127 205 205,NA NA NA
2004,225 93 68,224 73 81,222 82 133,241 155 35,225 185 186,167 158 139,187 160 206,162 176 109,124 158 217,99 101 158
2005,244 223 91,85 170 89,244 81 44,251 164 129,154 138 104,74 95 139,233 154 190,155 157 199,83 176 174,138 152 146
2006,240 225 165,223 207 190,161 221 221,220 170 187,198 212 153,172 192 217,168 147 192,247 135 102,133 94 83,59 75 135
2007,233 212 202,164 178 121,164 158 157,224 170 90,133 59 117,223 211 79,130 151 206,196 149 128,231 139 144,138 186 211
2008,173 151 66,188 108 167,191 56 74,234 194 214,191 165 126,246 195 36,255 164 128,204 217 122,3 79 132,198 191 184
2009,179 58 127,255 136 148,50 103 173,125 207 182,232 193 63,157 170 74,178 164 212,85 170 89,138 152 146,207 180 168
2010,69 184 172,195 55 77,255 130 114,192 129 186,192 153 133,244 223 91,70 95 173,241 221 207,132 127 93,174 168 143
2011,214 80 118,242 114 69,126 177 129,238 169 74,233 212 202,143 95 80,72 122 183,42 189 199,178 164 212,186 179 173
2012,226 73 47,248 199 71,208 51 119,150 106 168,54 65 116,231 184 211,189 205 148,137 127 122,90 208 186,182 159 123
2013,0 152 116,155 194 172,125 161 191,185 209 70,248 223 95,178 132 190,240 216 195,52 76 128,220 52 59,255 136 86
2014,141 174 215,155 144 200,151 193 161,159 156 153,205 170 127,246 195 36,224 73 81,232 115 61,173 94 153,46 77 167
2015,157 198 216,0 178 202,125 207 182,29 78 137,210 178 154,227 134 143,247 146 86,234 217 139,150 79 76,198 203 204
2016,247 202 201,247 120 107,145 168 208,3 79 132,251 227 55,152 221 222,152 150 164,220 68 58,177 143 106,113 204 81
